Document_Num;Ligne;GL_Account;Amount_Local_Curr;Local_Curr;Anomaly_Type;Anomaly_ID;Action
100002;6;441100;62.400;MAD;DUPLICATE;AN001;EXCEPTION
100010;25;514100;6.200;MAD;DUPLICATE;AN002;EXCEPTION
200001;180;345500;9.000;MAD;UNBALANCED;AN003;EXCEPTION
200001;181;441100;53.000;MAD;UNBALANCED;AN003;EXCEPTION
200001;182;611100;45.000;MAD;UNBALANCED;AN003;EXCEPTION
200002;183;342100;36.000;MAD;UNBALANCED;AN004;EXCEPTION
200002;184;445500;5.000;MAD;UNBALANCED;AN004;EXCEPTION
200002;185;711100;28.000;MAD;UNBALANCED;AN004;EXCEPTION
300001;186;345500;500.000;MAD;OUTLIER;AN005;EXCEPTION
300001;187;441100;3.000.000;MAD;OUTLIER;AN005;EXCEPTION
300001;188;618100;2.500.000;MAD;OUTLIER;AN005;EXCEPTION
300002;189;345500;300.000;MAD;OUTLIER;AN006;EXCEPTION
300002;190;441100;1.800.000;MAD;OUTLIER;AN006;EXCEPTION
300002;191;611100;1.500.000;MAD;OUTLIER;AN006;EXCEPTION
